__ctr_start,00100000
nninitRegion,00100028
FUN_0010004c,0010004c
DuplicateHandle,00100064
FUN_0010007c,0010007c
FUN_001000ec,001000ec
FUN_001001c4,001001c4
FUN_001001d4,001001d4
FUN_001001f0,001001f0
FUN_0010020c,0010020c
FUN_00100228,00100228
FUN_001002c4,001002c4
BgZg_Draw,0010031c
BgZg_Update,00100344
FUN_0010040c,0010040c
FUN_00100434,00100434
EnHorseNormal_Update,001004c8
EnBb_Update,001005ec
EnEg_Draw,00100880
EnEg_Update,00100884
EnHorseGanon_Update,001008ac
EnHorseZelda_Update,001008b0
FUN_001008b4,001008b4
EnRd_Update,0010109c
EnTp_Update,001016bc
EnZf_Update,00101c48
EnDh_Update,00102550
EnVm_Update,00102954
FUN_00102ccc,00102ccc
EnFz_AimForFreeze,00102ec0
EnFz_BlowSmokeStationary,00102f30
FUN_0010320c,0010320c
FUN_00103264,00103264
FUN_001032bc,001032bc
FUN_0010335c,0010335c
FUN_00103398,00103398
FUN_0010360c,0010360c
FUN_00103778,00103778
FUN_00103780,00103780
FUN_00103794,00103794
EnOssan_InitActionFunc,001037dc
EnOssan_MainActionFunc,00103c70
FUN_00104078,00104078
FUN_00104118,00104118
FUN_00104198,00104198
FUN_001041f0,001041f0
FUN_00104218,00104218
EnDoor_OverrideLimbDraw,00104398
FUN_001043ec,001043ec
EnBubble_Regrow,00104474
DemoKankyo_UpdateClouds,001044fc
FUN_00104594,00104594
FUN_00104648,00104648
FUN_00104720,00104720
EnMu_PostDrawLimb,00104864
EnTg_PostLimbDraw,00104868
caseD_2,001048b0
ItemEtcetera_DrawThroughLens,001048fc
FUN_00104948,00104948
FUN_00104b8c,00104b8c
FUN_00104bf8,00104bf8
EnGo2_GroundRolling,00104c5c
FUN_00104da8,00104da8
FUN_00105358,00105358
FUN_00105440,00105440
FUN_00105508,00105508
FUN_00105a88,00105a88
FUN_00105bd0,00105bd0
FUN_00105e30,00105e30
EnFloormas_Land,00105e58
FUN_00106074,00106074
FUN_00106198,00106198
FUN_0010623c,0010623c
BossFd2_BreatheFire,00106334
BossGoma_FloorAttack,00106934
FUN_00106bd8,00106bd8
FUN_00106ecc,00106ecc
FUN_00106fb8,00106fb8
FUN_00107054,00107054
FUN_001072bc,001072bc
FUN_001073f8,001073f8
FUN_00107498,00107498
EnWallmas_TakePlayer,00107560
FUN_0010776c,0010776c
FUN_00107a40,00107a40
FUN_00107ae4,00107ae4
EnBili_ApproachPlayer,00107cd8
EnFloormas_Run,00107d54
FUN_00107f3c,00107f3c
EnDntDemo_Judge,00108138
FUN_0010862c,0010862c
EnExRuppy_Kill,0010874c
FUN_00108774,00108774
FUN_00108890,00108890
FUN_00108948,00108948
EnFloormas_SmWait,00108f68
